_id,question,optionA,optionB,optionC,optionD,correct,__v
6679d063a2a4e1fd4fe5c0fa,She is very ___.,beauty,beautiful,beautifully,beautify,beautiful,0
6679d063a2a4e1fd4fe5c0fb,He is a ___ singer.,talent,talented,talents,talenting,talented,0
6679d063a2a4e1fd4fe5c0fc,The cake tastes ___.,deliciousness,deliciously,delicious,deliciousing,delicious,0
6679d063a2a4e1fd4fe5c0fd,This is a ___ idea.,great,greatly,greatness,greater,great,0
6679d063a2a4e1fd4fe5c0fe,He is very ___.,smarter,smartly,smart,smarting,smart,0
6679d063a2a4e1fd4fe5c0ff,She sings ___.,beauty,beautiful,beautifully,beautify,beautifully,0
6679d063a2a4e1fd4fe5c100,He runs ___.,quickest,quick,quickly,quicker,quickly,0
6679d063a2a4e1fd4fe5c101,They spoke ___.,soft,softly,softer,softest,softly,0
6679d063a2a4e1fd4fe5c102,The children played ___.,happiness,happy,happier,happily,happily,0
6679d063a2a4e1fd4fe5c103,She worked ___.,hard,hardly,harder,hardest,hard,0
6679d063a2a4e1fd4fe5c104,___ apple a day keeps the doctor away.,A,An,The,Some,An,0
6679d063a2a4e1fd4fe5c105,I saw ___ cat on the roof.,a,an,the,some,a,0
6679d063a2a4e1fd4fe5c106,She is ___ best student in the class.,a,an,the,some,the,0
6679d063a2a4e1fd4fe5c107,He wants ___ apple.,a,an,the,some,an,0
6679d063a2a4e1fd4fe5c108,We need ___ information.,a,an,the,some,some,0
6679d063a2a4e1fd4fe5c109,"I wanted to go, ___ I was too tired.",but,and,or,so,but,0
6679d063a2a4e1fd4fe5c10a,She is smart ___ hardworking.,but,or,and,so,and,0
6679d063a2a4e1fd4fe5c10b,You can have tea ___ coffee.,but,or,and,so,or,0
6679d063a2a4e1fd4fe5c10c,"He didn’t study, ___ he failed the test.",but,or,and,so,so,0
6679d063a2a4e1fd4fe5c10d,"I was hungry, ___ I didn’t eat anything.",but,or,and,so,but,0
6679d063a2a4e1fd4fe5c10e,The cat is ___ the table.,in,on,at,by,on,0
6679d063a2a4e1fd4fe5c10f,He is ___ the room.,in,on,at,by,in,0
6679d063a2a4e1fd4fe5c110,She lives ___ New York.,by,on,at,in,in,0
6679d063a2a4e1fd4fe5c111,The book is ___ the shelf.,in,on,at,by,on,0
6679d063a2a4e1fd4fe5c112,He is sitting ___ the chair.,on,in,at,by,on,0
6679d063a2a4e1fd4fe5c113,I enjoy ___ books.,reader,read,reads,reading,reading,0
6679d063a2a4e1fd4fe5c114,She likes ___ in the park.,walking,walks,walk,walked,walking,0
6679d063a2a4e1fd4fe5c115,___ is good for health.,Swims,Swim,Swimming,Swam,Swimming,0
6679d063a2a4e1fd4fe5c116,He enjoys ___ to music.,listens,listening,listen,listened,listening,0
6679d063a2a4e1fd4fe5c117,___ is my hobby.,Painting,Paints,Paint,Painted,Painting,0
6679d063a2a4e1fd4fe5c118,She ___ go to school every day.,does,do,did,done,does,0
6679d063a2a4e1fd4fe5c119,They ___ working on the project.,are,is,was,were,are,0
6679d063a2a4e1fd4fe5c11a,He ___ finished his homework.,had,have,has,having,has,0
6679d063a2a4e1fd4fe5c11b,We ___ be there by 6 PM.,was,is,are,will,will,0
6679d063a2a4e1fd4fe5c11c,I ___ not like that movie.,do,does,did,done,do,0
